size: 1496, time: 0.048356 s, speed: 138.475806 GFlops
size: 1500, time: 0.047924 s, speed: 140.847887 GFlops
size: 1504, time: 0.048811 s, speed: 139.397879 GFlops
size: 1508, time: 0.051136 s, speed: 134.124194 GFlops
size: 1512, time: 0.049042 s, speed: 140.966954 GFlops
size: 1516, time: 0.051526 s, speed: 135.238574 GFlops
size: 1520, time: 0.052389 s, speed: 134.066856 GFlops
size: 1524, time: 0.051801 s, speed: 136.661768 GFlops
size: 1528, time: 0.052123 s, speed: 136.889480 GFlops
size: 1532, time: 0.052200 s, speed: 137.763806 GFlops
size: 1536, time: 0.052934 s, speed: 136.920820 GFlops
size: 1540, time: 0.054953 s, speed: 132.922951 GFlops
size: 1544, time: 0.051037 s, speed: 144.240136 GFlops
size: 1548, time: 0.054561 s, speed: 135.975118 GFlops
size: 1552, time: 0.052992 s, speed: 141.089900 GFlops
size: 1556, time: 0.052903 s, speed: 142.422627 GFlops
size: 1560, time: 0.050853 s, speed: 149.309380 GFlops
size: 1564, time: 0.052305 s, speed: 146.283450 GFlops
size: 1568, time: 0.058716 s, speed: 131.314074 GFlops
size: 1572, time: 0.055661 s, speed: 139.584407 GFlops
size: 1576, time: 0.059189 s, speed: 132.268685 GFlops
size: 1580, time: 0.060048 s, speed: 131.371743 GFlops
size: 1584, time: 0.055897 s, speed: 142.202440 GFlops
size: 1588, time: 0.055907 s, speed: 143.256790 GFlops
size: 1592, time: 0.057292 s, speed: 140.852746 GFlops
size: 1596, time: 0.057074 s, speed: 142.458974 GFlops
size: 1600, time: 0.057529 s, speed: 142.397815 GFlops
size: 1604, time: 0.058481 s, speed: 141.132963 GFlops
size: 1608, time: 0.057576 s, speed: 144.426565 GFlops
size: 1612, time: 0.057273 s, speed: 146.276325 GFlops
size: 1616, time: 0.055854 s, speed: 151.112067 GFlops
size: 1620, time: 0.057261 s, speed: 148.496489 GFlops
size: 1624, time: 0.056004 s, speed: 152.957404 GFlops
size: 1628, time: 0.058072 s, speed: 148.602371 GFlops
size: 1632, time: 0.056306 s, speed: 154.396221 GFlops
size: 1636, time: 0.061150 s, speed: 143.213712 GFlops
size: 1640, time: 0.059837 s, speed: 147.431737 GFlops
size: 1644, time: 0.062313 s, speed: 142.612594 GFlops
size: 1648, time: 0.062169 s, speed: 143.988303 GFlops
size: 1652, time: 0.058681 s, speed: 153.660604 GFlops
size: 1656, time: 0.063906 s, speed: 142.124735 GFlops
size: 1660, time: 0.063119 s, speed: 144.942117 GFlops
size: 1664, time: 0.062836 s, speed: 146.649944 GFlops
size: 1668, time: 0.065164 s, speed: 142.432732 GFlops
size: 1672, time: 0.065614 s, speed: 142.476225 GFlops
size: 1676, time: 0.063807 s, speed: 147.565094 GFlops
size: 1680, time: 0.062068 s, speed: 152.788332 GFlops
size: 1684, time: 0.064082 s, speed: 149.046173 GFlops
size: 1688, time: 0.061183 s, speed: 157.223234 GFlops
size: 1692, time: 0.062917 s, speed: 153.979571 GFlops
size: 1696, time: 0.062489 s, speed: 156.136247 GFlops
size: 1700, time: 0.064150 s, speed: 153.172595 GFlops
size: 1704, time: 0.065592 s, speed: 150.864674 GFlops
size: 1708, time: 0.066506 s, speed: 149.841931 GFlops
size: 1712, time: 0.062719 s, speed: 160.007895 GFlops
size: 1716, time: 0.066973 s, speed: 150.897582 GFlops
size: 1720, time: 0.062738 s, speed: 162.212164 GFlops
size: 1724, time: 0.067801 s, speed: 151.149143 GFlops
size: 1728, time: 0.068023 s, speed: 151.707008 GFlops
size: 1732, time: 0.070194 s, speed: 148.038144 GFlops
size: 1736, time: 0.071753 s, speed: 145.827336 GFlops
size: 1740, time: 0.075432 s, speed: 139.676432 GFlops
size: 1744, time: 0.071598 s, speed: 148.172710 GFlops
size: 1748, time: 0.073690 s, speed: 144.959303 GFlops
size: 1752, time: 0.069885 s, speed: 153.903407 GFlops
size: 1756, time: 0.068964 s, speed: 157.029432 GFlops
size: 1760, time: 0.067835 s, speed: 160.736721 GFlops
size: 1764, time: 0.070518 s, speed: 155.677428 GFlops
size: 1768, time: 0.069856 s, speed: 158.224419 GFlops
size: 1772, time: 0.075974 s, speed: 146.472545 GFlops
size: 1776, time: 0.072668 s, speed: 154.175954 GFlops
size: 1780, time: 0.075204 s, speed: 149.985159 GFlops
size: 1784, time: 0.070997 s, speed: 159.946429 GFlops
size: 1788, time: 0.075024 s, speed: 152.381752 GFlops
size: 1792, time: 0.078494 s, speed: 146.624705 GFlops
size: 1796, time: 0.077738 s, speed: 149.044299 GFlops
size: 1800, time: 0.076155 s, speed: 153.160942 GFlops
size: 1804, time: 0.079087 s, speed: 148.468523 GFlops
size: 1808, time: 0.075392 s, speed: 156.783359 GFlops
size: 1812, time: 0.075621 s, speed: 157.348071 GFlops
size: 1816, time: 0.075255 s, speed: 159.162690 GFlops
size: 1820, time: 0.077952 s, speed: 154.674033 GFlops
size: 1824, time: 0.072691 s, speed: 166.964473 GFlops
size: 1828, time: 0.080795 s, speed: 151.208115 GFlops
size: 1832, time: 0.079373 s, speed: 154.929081 GFlops
size: 1836, time: 0.079968 s, speed: 154.786088 GFlops
size: 1840, time: 0.079252 s, speed: 157.207481 GFlops
size: 1844, time: 0.085491 s, speed: 146.687343 GFlops
size: 1848, time: 0.078157 s, speed: 161.498430 GFlops
size: 1852, time: 0.085297 s, speed: 148.942916 GFlops
size: 1856, time: 0.080508 s, speed: 158.827210 GFlops
size: 1860, time: 0.084214 s, speed: 152.821577 GFlops
size: 1864, time: 0.083608 s, speed: 154.924585 GFlops
size: 1868, time: 0.084117 s, speed: 154.980539 GFlops
size: 1872, time: 0.082443 s, speed: 159.145275 GFlops
size: 1876, time: 0.084634 s, speed: 156.021085 GFlops
size: 1880, time: 0.087551 s, speed: 151.789956 GFlops
size: 1884, time: 0.089238 s, speed: 149.872935 GFlops
size: 1888, time: 0.084188 s, speed: 159.876950 GFlops
size: 1892, time: 0.085978 s, speed: 157.545461 GFlops
size: 1896, time: 0.086221 s, speed: 158.100062 GFlops
size: 1900, time: 0.090542 s, speed: 151.509666 GFlops
size: 1904, time: 0.082414 s, speed: 167.505973 GFlops
size: 1908, time: 0.087941 s, speed: 157.969792 GFlops
size: 1912, time: 0.083237 s, speed: 167.949065 GFlops
size: 1916, time: 0.084150 s, speed: 167.171407 GFlops
size: 1920, time: 0.085772 s, speed: 165.039980 GFlops
size: 1924, time: 0.088144 s, speed: 161.604008 GFlops
size: 1928, time: 0.088306 s, speed: 162.315481 GFlops
size: 1932, time: 0.091012 s, speed: 158.472058 GFlops
size: 1936, time: 0.087069 s, speed: 166.679552 GFlops
size: 1940, time: 0.090223 s, speed: 161.851812 GFlops
size: 1944, time: 0.087894 s, speed: 167.170535 GFlops
size: 1948, time: 0.089820 s, speed: 164.597884 GFlops
size: 1952, time: 0.088455 s, speed: 168.169501 GFlops
size: 1956, time: 0.092408 s, speed: 161.967265 GFlops
size: 1960, time: 0.090588 s, speed: 166.236771 GFlops
size: 1964, time: 0.093576 s, speed: 161.916154 GFlops
size: 1968, time: 0.093246 s, speed: 163.483959 GFlops
size: 1972, time: 0.095593 s, speed: 160.444468 GFlops
size: 1976, time: 0.091612 s, speed: 168.437624 GFlops
size: 1980, time: 0.094952 s, speed: 163.501617 GFlops
size: 1984, time: 0.091990 s, speed: 169.790899 GFlops
size: 1988, time: 0.095838 s, speed: 163.961196 GFlops
size: 1992, time: 0.095806 s, speed: 165.008311 GFlops
size: 1996, time: 0.095704 s, speed: 166.180920 GFlops
size: 2000, time: 0.093133 s, speed: 171.797372 GFlops
size: 2004, time: 0.097177 s, speed: 165.637830 GFlops
size: 2008, time: 0.097081 s, speed: 166.796572 GFlops
size: 2012, time: 0.097206 s, speed: 167.579697 GFlops
size: 2016, time: 0.099558 s, speed: 164.598136 GFlops
